site,date_GMT,Mean_Hs_m,Max_Hs_m,latitude,longitude,datetime,month,year
ABUR,2001-03-04,0.32,0.39,34.400275,-119.7445915,2001-03-04,3,2001
ABUR,2001-03-05,0.49,0.74,34.400275,-119.7445915,2001-03-05,3,2001
ABUR,2001-03-06,0.29,0.34,34.400275,-119.7445915,2001-03-06,3,2001
ABUR,2001-03-07,0.3,0.32,34.400275,-119.7445915,2001-03-07,3,2001
ABUR,2001-03-08,0.29,0.34,34.400275,-119.7445915,2001-03-08,3,2001
ABUR,2001-03-09,0.31,0.34,34.400275,-119.7445915,2001-03-09,3,2001
ABUR,2001-03-10,0.38,0.46,34.400275,-119.7445915,2001-03-10,3,2001
ABUR,2001-03-11,0.25,0.31,34.400275,-119.7445915,2001-03-11,3,2001
ABUR,2001-03-12,0.24,0.29,34.400275,-119.7445915,2001-03-12,3,2001
ABUR,2001-03-13,0.32,0.35,34.400275,-119.7445915,2001-03-13,3,2001
ABUR,2001-03-14,0.36,0.41,34.400275,-119.7445915,2001-03-14,3,2001
ABUR,2001-03-15,0.39,0.42,34.400275,-119.7445915,2001-03-15,3,2001
ABUR,2001-03-16,0.3,0.39,34.400275,-119.7445915,2001-03-16,3,2001
ABUR,2001-03-17,0.27,0.3,34.400275,-119.7445915,2001-03-17,3,2001
ABUR,2001-03-18,0.28,0.34,34.400275,-119.7445915,2001-03-18,3,2001
ABUR,2001-03-19,0.24,0.31,34.400275,-119.7445915,2001-03-19,3,2001
ABUR,2001-03-20,0.31,0.34,34.400275,-119.7445915,2001-03-20,3,2001
ABUR,2001-03-21,0.31,0.35,34.400275,-119.7445915,2001-03-21,3,2001
ABUR,2001-03-22,0.19,0.27,34.400275,-119.7445915,2001-03-22,3,2001
ABUR,2001-03-23,0.14,0.16,34.400275,-119.7445915,2001-03-23,3,2001
ABUR,2001-03-24,0.12,0.13,34.400275,-119.7445915,2001-03-24,3,2001
ABUR,2001-03-25,0.16,0.25,34.400275,-119.7445915,2001-03-25,3,2001
ABUR,2001-03-26,0.67,0.99,34.400275,-119.7445915,2001-03-26,3,2001
ABUR,2001-03-27,0.31,0.52,34.400275,-119.7445915,2001-03-27,3,2001
ABUR,2001-03-28,0.17,0.2,34.400275,-119.7445915,2001-03-28,3,2001
ABUR,2001-03-29,0.18,0.21,34.400275,-119.7445915,2001-03-29,3,2001
ABUR,2001-03-30,0.19,0.22,34.400275,-119.7445915,2001-03-30,3,2001
ABUR,2001-03-31,0.2,0.22,34.400275,-119.7445915,2001-03-31,3,2001
ABUR,2001-10-01,0.17,0.2,34.400275,-119.7445915,2001-10-01,10,2001
ABUR,2001-10-02,0.21,0.23,34.400275,-119.7445915,2001-10-02,10,2001
ABUR,2001-10-03,0.16,0.19,34.400275,-119.7445915,2001-10-03,10,2001
ABUR,2001-10-04,0.15,0.18,34.400275,-119.7445915,2001-10-04,10,2001
ABUR,2001-10-05,0.1,0.11,34.400275,-119.7445915,2001-10-05,10,2001
ABUR,2001-10-06,0.1,0.1,34.400275,-119.7445915,2001-10-06,10,2001
ABUR,2001-10-07,0.1,0.12,34.400275,-119.7445915,2001-10-07,10,2001
ABUR,2001-10-08,0.16,0.23,34.400275,-119.7445915,2001-10-08,10,2001
ABUR,2001-10-09,0.19,0.32,34.400275,-119.7445915,2001-10-09,10,2001
ABUR,2001-10-10,0.25,0.28,34.400275,-119.7445915,2001-10-10,10,2001
ABUR,2001-10-11,0.19,0.21,34.400275,-119.7445915,2001-10-11,10,2001
ABUR,2001-10-12,0.2,0.24,34.400275,-119.7445915,2001-10-12,10,2001
ABUR,2001-10-13,0.23,0.26,34.400275,-119.7445915,2001-10-13,10,2001
ABUR,2001-10-14,0.23,0.27,34.400275,-119.7445915,2001-10-14,10,2001
ABUR,2001-10-15,0.29,0.32,34.400275,-119.7445915,2001-10-15,10,2001
ABUR,2001-10-16,0.27,0.32,34.400275,-119.7445915,2001-10-16,10,2001
ABUR,2001-10-17,0.2,0.28,34.400275,-119.7445915,2001-10-17,10,2001
ABUR,2001-10-18,0.15,0.23,34.400275,-119.7445915,2001-10-18,10,2001
ABUR,2001-10-19,0.17,0.22,34.400275,-119.7445915,2001-10-19,10,2001
ABUR,2001-10-20,0.11,0.12,34.400275,-119.7445915,2001-10-20,10,2001
ABUR,2001-10-21,0.14,0.16,34.400275,-119.7445915,2001-10-21,10,2001
ABUR,2001-10-22,0.12,0.13,34.400275,-119.7445915,2001-10-22,10,2001
ABUR,2001-10-23,0.12,0.13,34.400275,-119.7445915,2001-10-23,10,2001
ABUR,2001-10-24,0.2,0.34,34.400275,-119.7445915,2001-10-24,10,2001
ABUR,2001-10-25,0.27,0.38,34.400275,-119.7445915,2001-10-25,10,2001
ABUR,2001-10-26,0.14,0.19,34.400275,-119.7445915,2001-10-26,10,2001
ABUR,2001-10-27,0.1,0.11,34.400275,-119.7445915,2001-10-27,10,2001
ABUR,2001-10-28,0.11,0.14,34.400275,-119.7445915,2001-10-28,10,2001
ABUR,2001-10-29,0.11,0.14,34.400275,-119.7445915,2001-10-29,10,2001
ABUR,2001-10-30,0.11,0.12,34.400275,-119.7445915,2001-10-30,10,2001
ABUR,2001-10-31,0.18,0.23,34.400275,-119.7445915,2001-10-31,10,2001
ABUR,2001-11-01,0.16,0.19,34.400275,-119.7445915,2001-11-01,11,2001
ABUR,2001-11-02,0.25,0.33,34.400275,-119.7445915,2001-11-02,11,2001
ABUR,2001-11-03,0.23,0.4,34.400275,-119.7445915,2001-11-03,11,2001
ABUR,2001-11-04,0.4,0.5,34.400275,-119.7445915,2001-11-04,11,2001
ABUR,2001-11-05,0.27,0.35,34.400275,-119.7445915,2001-11-05,11,2001
ABUR,2001-11-06,0.18,0.22,34.400275,-119.7445915,2001-11-06,11,2001
ABUR,2001-11-07,0.21,0.24,34.400275,-119.7445915,2001-11-07,11,2001
ABUR,2001-11-08,0.19,0.26,34.400275,-119.7445915,2001-11-08,11,2001
